GO_ID	GO_Name	Aspect	Accession_Count	Accessions
GO:0005742	mitochondrial outer membrane translocase complex	Cellular_Component	2	Dcitr04g0794011;Dcitr04g0790011
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	Molecular_Function	1	Dcitr06g1037011
GO:0008509	anion transmembrane transporter activity	Molecular_Function	5	Dcitr05g1269011;Dcitr04g0603011;Dcitr05g1274011;Dcitr04g0602011;Dcitr05g1272011
GO:2001070	starch binding	Molecular_Function	3	Dcitr04g1360012;Dcitr04g1360013;Dcitr04g1360011
GO:0004370	glycerol kinase activity	Molecular_Function	2	Dcitr04g0608011;Dcitr04g0552011
GO:0004735	pyrroline-5-carboxylate reductase activity	Molecular_Function	5	Dcitr02g1458011;Dcitr02g1458015;Dcitr02g1458012;Dcitr02g1458013;Dcitr02g1458014
GO:0004970	ionotropic glutamate receptor activity	Molecular_Function	16	Dcitr08g0285012;Dcitr05g1382011;Dcitr08g0287011;Dcitr08g0295011;Dcitr06g0267011;Dcitr08g0110011;Dcitr10g0909011;Dcitr08g0110013;Dcitr08g0110012;Dcitr01g1180011;Dcitr10g0537011;Dcitr06g0260011;Dcitr08g0285011;Dcitr10g0690011;Dcitr10g0694011;Dcitr06g0269011
GO:0008191	metalloendopeptidase inhibitor activity	Molecular_Function	1	Dcitr01g1126011
GO:0003777	microtubule motor activity	Molecular_Function	67	Dcitr01g0796011;Dcitr05g1470011;Dcitr01g0798011;Dcitr03g2106011;Dcitr02g1565011;Dcitr02g0865011;Dcitr10g1073011;Dcitr13g0470011;Dcitr01g0918011;Dcitr05g1276011;Dcitr13g0390011;Dcitr04g0523011;Dcitr03g2104011;Dcitr13g0397011;Dcitr05g0755011;Dcitr10g0266011;Dcitr02g1094011;Dcitr05g1261011;Dcitr01g2184011;Dcitr05g0226011;Dcitr13g0487011;Dcitr05g0798011;Dcitr03g1601011;Dcitr02g1267011;Dcitr07g0414011;Dcitr13g0472011;Dcitr04g0519012;Dcitr07g0415011;Dcitr02g0198011;Dcitr03g1603011;Dcitr02g0480011;Dcitr03g1605011;Dcitr05g1278011;Dcitr04g0517011;Dcitr05g0224011;Dcitr05g1275011;Dcitr04g0519011;Dcitr04g0423011;Dcitr04g0615011;Dcitr01g0807011;Dcitr02g1092011;Dcitr07g0413011;Dcitr01g2186011;Dcitr03g1587011;Dcitr05g1279011;Dcitr02g1095011;Dcitr05g1262011;Dcitr03g2105011;Dcitr06g1439011;Dcitr03g1588011;Dcitr05g0227011;Dcitr05g0757011;Dcitr01g1971011;Dcitr01g1114011;Dcitr06g1439012;Dcitr04g0609011;Dcitr07g0749011;Dcitr13g0397012;Dcitr05g0797011;Dcitr03g2112011;Dcitr03g2107011;Dcitr10g0255011;Dcitr04g1178011;Dcitr13g0484011;Dcitr02g0864011;Dcitr03g1602011;Dcitr03g1650011
GO:0032580	Golgi cisterna membrane	Cellular_Component	4	Dcitr11g0647011;Dcitr11g0645011;Dcitr08g1076011;Dcitr11g0646011
GO:1904263	positive regulation of TORC1 signaling	Biological_Process	2	Dcitr13g0656011;Dcitr03g0567011
GO:0035658	Mon1-Ccz1 complex	Cellular_Component	4	Dcitr10g0220011;Dcitr09g0632011;Dcitr10g0231011;Dcitr09g0622011
GO:0070972	protein localization to endoplasmic reticulum	Biological_Process	1	Dcitr05g0346011
GO:0016772	transferase activity, transferring phosphorus-containing groups	Molecular_Function	9	Dcitr12g0482011;Dcitr02g1604011;Dcitr02g0250011;Dcitr08g0478011;Dcitr08g0472011;Dcitr02g0246011;Dcitr01g1796011;Dcitr02g0248011;Dcitr02g0247011
GO:0008241	peptidyl-dipeptidase activity	Molecular_Function	6	Dcitr07g0752011;Dcitr07g0751011;Dcitr07g0752012;Dcitr07g0669011;Dcitr07g0669012;Dcitr07g0977011
GO:0007589	body fluid secretion	Biological_Process	1	Dcitr08g0133011
GO:0000493	box H/ACA snoRNP assembly	Biological_Process	4	Dcitr01g0195011;Dcitr01g0198011;Dcitr05g1454011;Dcitr05g1456011
GO:0006741	NADP biosynthetic process	Biological_Process	3	Dcitr00g1020011;Dcitr04g0612011;Dcitr01g1670011
GO:0071230	cellular response to amino acid stimulus	Biological_Process	2	Dcitr06g1554011;Dcitr09g0198011
GO:0002161	aminoacyl-tRNA editing activity	Molecular_Function	8	Dcitr05g0581011;Dcitr02g0664011;Dcitr05g0106011;Dcitr05g0103011;Dcitr06g1064011;Dcitr06g0658011;Dcitr06g0665011;Dcitr05g0591011
GO:0004322	ferroxidase activity	Molecular_Function	1	Dcitr06g1082011
GO:0016615	malate dehydrogenase activity	Molecular_Function	9	Dcitr11g0784011;Dcitr06g1018011;Dcitr02g1355011;Dcitr06g1023012;Dcitr06g1023011;Dcitr11g0786011;Dcitr06g1023013;Dcitr04g0844011;Dcitr00g1111011
GO:0007023	post-chaperonin tubulin folding pathway	Biological_Process	10	Dcitr02g1046012;Dcitr02g1046013;Dcitr02g1046015;Dcitr02g1046011;Dcitr02g1045014;Dcitr11g0439011;Dcitr02g1045013;Dcitr02g1045012;Dcitr02g1045011;Dcitr02g1046014
GO:0030914	STAGA complex	Cellular_Component	1	Dcitr01g2126011
GO:0061138	morphogenesis of a branching epithelium	Biological_Process	3	Dcitr01g2157011;Dcitr01g2170011;Dcitr01g2173011
GO:0051082	unfolded protein binding	Molecular_Function	47	Dcitr11g0949011;Dcitr10g0311011;Dcitr06g1544011;Dcitr04g1657011;Dcitr05g1526011;Dcitr02g1973011;Dcitr11g0787011;Dcitr06g1551011;Dcitr09g0455011;Dcitr00g0441011;Dcitr00g0795011;Dcitr10g0311012;Dcitr04g1335011;Dcitr03g1869011;Dcitr11g0780011;Dcitr06g1112011;Dcitr03g0897011;Dcitr05g0521011;Dcitr06g1113011;Dcitr06g1109011;Dcitr01g0531011;Dcitr05g1532011;Dcitr11g0793011;Dcitr07g1059011;Dcitr06g0897011;Dcitr05g1353011;Dcitr05g1364011;Dcitr07g0189011;Dcitr05g0467011;Dcitr01g2070011;Dcitr07g0187011;Dcitr11g0777011;Dcitr07g1063011;Dcitr02g0238011;Dcitr02g0130011;Dcitr01g1479011;Dcitr03g0889011;Dcitr07g1060011;Dcitr06g1543011;Dcitr11g0926011;Dcitr05g1361011;Dcitr04g1658011;Dcitr05g0459011;Dcitr11g0929011;Dcitr11g0306011;Dcitr02g0236011;Dcitr06g1533011
GO:0016559	peroxisome fission	Biological_Process	2	Dcitr05g1036011;Dcitr02g1618011
GO:0031305	integral component of mitochondrial inner membrane	Cellular_Component	2	Dcitr10g0581011;Dcitr10g0584011
GO:0030150	protein import into mitochondrial matrix	Biological_Process	3	Dcitr06g1077011;Dcitr02g1811011;Dcitr02g1817011
