Accession_ID	Pathway_Count	Pathway_IDs	Pathway_Names
Dcitr04g0127012	1	Reactome: R-HSA-936837	"Ion transport by P-type ATPases"
Dcitr02g0697011	1	Reactome: R-HSA-964975	"Vitamins B6 activation to pyridoxal phosphate"
Dcitr03g1954011	25	Reactome: R-HSA-170822;Reactome: R-HSA-180910;Reactome: R-HSA-6784531;Reactome: R-HSA-191859;Reactome: R-HSA-4085377;Reactome: R-HSA-168271;Reactome: R-HSA-159231;Reactome: R-HSA-168333;Reactome: R-HSA-165054;Reactome: R-HSA-159227;Reactome: R-HSA-5578749;Reactome: R-HSA-4570464;Reactome: R-HSA-5619107;Reactome: R-HSA-180746;Reactome: R-HSA-159236;Reactome: R-HSA-3108214;Reactome: R-HSA-4615885;Reactome: R-HSA-159230;Reactome: R-HSA-3232142;Reactome: R-HSA-3371453;Reactome: R-HSA-3301854;Reactome: R-HSA-168276;Reactome: R-HSA-4551638;Reactome: R-HSA-1169408;Reactome: R-HSA-168325	"Regulation of Glucokinase by Glucokinase Regulatory Protein";"Vpr-mediated nuclear import of PICs";"tRNA processing in the nucleus";"snRNP Assembly";"SUMOylation of SUMOylation proteins";"Transport of Ribonucleoproteins into the Host Nucleus";"Transport of Mature mRNA Derived from an Intronless Transcript";"NEP/NS2 Interacts with the Cellular Export Machinery";"Rev-mediated nuclear export of HIV RNA";"Transport of the SLBP independent Mature mRNA";"Transcriptional regulation by small RNAs";"SUMOylation of RNA binding proteins";"Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)";"Nuclear import of Rev protein";"Transport of Mature mRNA derived from an Intron-Containing Transcript";"SUMOylation of DNA damage response and repair proteins";"SUMOylation of DNA replication proteins";"Transport of the SLBP Dependant Mature mRNA";"SUMOylation of ubiquitinylation proteins";"Regulation of HSF1-mediated heat shock response";"Nuclear Pore Complex (NPC) Disassembly";"NS1 Mediated Effects on Host Pathways";"SUMOylation of chromatin organization proteins";"ISG15 antiviral mechanism";"Viral Messenger RNA Synthesis"
Dcitr08g0591011	3	Reactome: R-HSA-5673001;Reactome: R-HSA-8853659;Reactome: R-HSA-73817	"RAF/MAP kinase cascade";"RET signaling";"Purine ribonucleoside monophosphate biosynthesis"
Dcitr03g0527011	1	Reactome: R-HSA-6799198	"Complex I biogenesis"
Dcitr01g1543011	1	Reactome: R-HSA-75105	"Fatty acyl-CoA biosynthesis"
Dcitr01g1242011	56	Reactome: R-HSA-349425;Reactome: R-HSA-983168;Reactome: R-HSA-174084;Reactome: R-HSA-2871837;Reactome: R-HSA-174113;Reactome: R-HSA-174184;Reactome: R-HSA-1169091;Reactome: R-HSA-5607764;Reactome: R-HSA-180585;Reactome: R-HSA-5610783;Reactome: R-HSA-382556;Reactome: R-HSA-202424;Reactome: R-HSA-5689880;Reactome: R-HSA-9604323;Reactome: R-HSA-5607761;Reactome: R-HSA-1234176;Reactome: R-HSA-8951664;Reactome: R-HSA-195253;Reactome: R-HSA-5658442;Reactome: R-HSA-5610785;Reactome: R-HSA-8852276;Reactome: R-HSA-350562;Reactome: R-HSA-5678895;Reactome: R-HSA-9020702;Reactome: R-HSA-5689603;Reactome: R-HSA-68949;Reactome: R-HSA-5632684;Reactome: R-HSA-2467813;Reactome: R-HSA-8854050;Reactome: R-HSA-1236978;Reactome: R-HSA-174154;Reactome: R-HSA-5687128;Reactome: R-HSA-180534;Reactome: R-HSA-5610780;Reactome: R-HSA-69601;Reactome: R-HSA-5668541;Reactome: R-HSA-69481;Reactome: R-HSA-8939236;Reactome: R-HSA-450408;Reactome: R-HSA-9010553;Reactome: R-HSA-211733;Reactome: R-HSA-4641258;Reactome: R-HSA-4641257;Reactome: R-HSA-5358346;Reactome: R-HSA-1236974;Reactome: R-HSA-68827;Reactome: R-HSA-69017;Reactome: R-HSA-75815;Reactome: R-HSA-5676590;Reactome: R-HSA-8941858;Reactome: R-HSA-8939902;Reactome: R-HSA-5362768;Reactome: R-HSA-8948751;Reactome: R-HSA-187577;Reactome: R-HSA-4608870;Reactome: R-HSA-174178	"Autodegradation of the E3 ubiquitin ligase COP1";"Antigen processing: Ubiquitination &amp; Proteasome degradation";"Autodegradation of Cdh1 by Cdh1:APC/C";"FCERI mediated NF-kB activation";"SCF-beta-TrCP mediated degradation of Emi1";"Cdc20:Phospho-APC/C mediated degradation of Cyclin A";"Activation of NF-kappaB in B cells";"CLEC7A (Dectin-1) signaling";"Vif-mediated degradation of APOBEC3G";"Degradation of GLI2 by the proteasome";"ABC-family proteins mediated transport";"Downstream TCR signaling";"Ub-specific processing proteases";"Negative regulation of NOTCH4 signaling";"Dectin-1 mediated noncanonical NF-kB signaling";"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha";"Neddylation";"Degradation of beta-catenin by the destruction complex";"Regulation of RAS by GAPs";"GLI3 is processed to GLI3R by the proteasome";"The role of GTSE1 in G2/M progression after G2 checkpoint";"Regulation of ornithine decarboxylase (ODC)";"Defective CFTR causes cystic fibrosis";"Interleukin-1 signaling";"UCH proteinases";"Orc1 removal from chromatin";"Hedgehog 'on' state";"Separation of Sister Chromatids";"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis";"Cross-presentation of soluble exogenous antigens (endosomes)";"APC/C:Cdc20 mediated degradation of Securin";"MAPK6/MAPK4 signaling";"Vpu mediated degradation of CD4";"Degradation of GLI1 by the proteasome";"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A";"TNFR2 non-canonical NF-kB pathway";"G2/M Checkpoints";"RUNX1 regulates transcription of genes involved in differentiation of HSCs";"AUF1 (hnRNP D0) binds and destabilizes mRNA";"Regulation of expression of SLITs and ROBOs";"Regulation of activated PAK-2p34 by proteasome mediated degradation";"Degradation of DVL";"Degradation of AXIN";"Hedgehog ligand biogenesis";"ER-Phagosome pathway";"CDT1 association with the CDC6:ORC:origin complex";"CDK-mediated phosphorylation and removal of Cdc6";"Ubiquitin-dependent degradation of Cyclin D";"NIK--&gt;noncanonical NF-kB signaling";"Regulation of RUNX3 expression and activity";"Regulation of RUNX2 expression and activity";"Hh mutants that don't undergo autocatalytic processing are degraded by ERAD";"Regulation of PTEN stability and activity";"SCF(Skp2)-mediated degradation of p27/p21";"Asymmetric localization of PCP proteins";"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
Dcitr00g1212011	1	Reactome: R-HSA-6784531	"tRNA processing in the nucleus"
Dcitr02g0472011	6	Reactome: R-HSA-176974;Reactome: R-HSA-68867;Reactome: R-HSA-69052;Reactome: R-HSA-68949;Reactome: R-HSA-68962;Reactome: R-HSA-176187	"Unwinding of DNA";"Assembly of the pre-replicative complex";"Switching of origins to a post-replicative state";"Orc1 removal from chromatin";"Activation of the pre-replicative complex";"Activation of ATR in response to replication stress"
Dcitr00g0526011	5	Reactome: R-HSA-1482801;Reactome: R-HSA-1483115;Reactome: R-HSA-1482788;Reactome: R-HSA-1482839;Reactome: R-HSA-1482922	"Acyl chain remodelling of PS";"Hydrolysis of LPC";"Acyl chain remodelling of PC";"Acyl chain remodelling of PE";"Acyl chain remodelling of PI"
