Query_ID	Query_length	Query_start	Query_end	Subject_ID	Subject_length	Subject_start	Subject_end	E_value	Percent_ID	Query_coverage	Percent_positive_ID	Gap_openings	Total_gaps	Bitscore	Raw_score
Dcitr00g01400.1.1	260	1	261	RSSA_DROME	259	1	260	3.50e-128	72.556	86	80.45	2	11	365	937
Dcitr00g01430.1.1	165	1	166	Q8IG93_DROME	167	475	642	6.92e-76	71.006	94	82.25	2	4	238	608
Dcitr00g01430.1.1	165	1	166	Q86NV8_DROME	167	1023	1190	5.08e-74	71.006	94	82.25	2	4	240	612
Dcitr00g01430.1.1	165	1	166	Q9VF02_DROME	167	1725	1892	6.09e-74	71.006	94	82.25	2	4	240	612
Dcitr00g01740.1.1	413	1	414	PGK_DROME	413	1	414	0.0	76.087	99	86.23	0	0	647	1669
Dcitr00g01860.1.1	145	1	146	Q9W0Q2_DROME	145	29	174	3.21e-92	82.877	97	90.41	0	0	264	675
Dcitr00g02010.1.1	185	1	186	ARL8_DROME	185	1	186	2.28e-123	86.559	99	94.09	0	0	345	884
Dcitr00g02440.1.1	230	29	259	PTP10_DROME	231	108	339	1.60e-106	71.121	85	81.03	1	1	338	867
Dcitr00g02500.1.1	174	1	175	Q960U8_DROME	174	384	558	5.61e-93	71.429	96	82.86	0	0	280	717
Dcitr00g02500.1.1	174	1	175	Q8ST50_DROME	174	384	558	5.80e-93	71.429	96	82.86	0	0	280	717
Dcitr00g02510.1.1	174	1	175	Q960U8_DROME	174	384	558	5.61e-93	71.429	96	82.86	0	0	280	717
Dcitr00g02510.1.1	174	1	175	Q8ST50_DROME	174	384	558	5.80e-93	71.429	96	82.86	0	0	280	717
Dcitr00g02560.1.1	61	839	900	MELT_DROME	61	915	976	7.37e-26	82.258	98	95.16	0	0	114	285
Dcitr00g03030.1.1	413	1	414	MCCB_DROME	430	80	510	0.0	71.462	99	81.90	4	17	632	1629
Dcitr00g03250.1.1	160	1	161	Q9V4B2_DROME	161	1	162	1.05e-76	70.370	98	80.86	1	1	232	592
Dcitr00g03250.1.2	160	1	161	Q9V4B2_DROME	161	1	162	1.05e-76	70.370	98	80.86	1	1	232	592
Dcitr00g03310.1.1	159	1	160	SAN_DROME	160	1	161	2.27e-98	81.366	95	90.68	1	1	281	718
Dcitr00g03470.1.1	152	315	467	PTRO_DROME	149	1481	1630	3.09e-72	71.242	88	84.31	1	3	248	632
Dcitr00g03470.1.2	152	339	491	PTRO_DROME	149	1481	1630	7.20e-72	71.242	84	84.31	1	3	247	631
Dcitr00g03470.1.3	152	407	559	PTRO_DROME	149	1481	1630	3.93e-71	71.242	78	84.31	1	3	248	632
Dcitr00g03920.1.1	522	174	696	O61360_DROME	521	207	728	0.0	72.137	75	84.92	2	3	826	2133
Dcitr00g03920.1.1	480	174	654	O61361_DROME	479	207	686	0.0	73.651	75	86.10	2	3	779	2012
Dcitr00g04390.1.1	241	7	248	CSK2A_DROME	241	4	245	7.65e-125	75.207	95	85.95	0	0	357	916
Dcitr00g04530.1.1	65	2	67	Q4R0P9_DROME	65	285	350	2.80e-35	77.273	74	89.39	0	0	123	308
Dcitr00g04530.1.1	65	2	67	Q9VPQ5_DROME	65	285	350	5.12e-35	77.273	74	89.39	0	0	122	306
