InterPro_ID	InterPro_Type_and_Name	Accession_Count	Accession_IDs
IPR028213	FAMILY:PA1	2	Dcitr05g0469011;Dcitr05g0457011
IPR012966	DOMAIN:AHD	7	Dcitr08g0255011;Dcitr03g1834015;Dcitr03g1834013;Dcitr03g1834012;Dcitr08g0253011;Dcitr03g1834011;Dcitr03g1834014
IPR042848	FAMILY:Rpp38	2	Dcitr01g1106011;Dcitr01g1113011
IPR033053	FAMILY:Hir3/CABIN1	1	Dcitr05g1633011
IPR036939	HOMOLOGOUS_SUPERFAMILY:Cu2_ascorb_mOase_N_sf	6	Dcitr02g1231011;Dcitr01g0795011;Dcitr02g1227011;Dcitr02g1226011;Dcitr03g1086011;Dcitr03g1082011
IPR008048	FAMILY:MCM5	3	Dcitr03g0961011;Dcitr00g0381011;Dcitr03g0959011
IPR043138	HOMOLOGOUS_SUPERFAMILY:GGT_lsub_C	7	Dcitr12g0911012;Dcitr12g0906011;Dcitr12g0911013;Dcitr12g0915011;Dcitr12g0904011;Dcitr12g0917011;Dcitr12g0911011
IPR022678	CONSERVED_SITE:MyristoylCoA_TrFase_CS	1	Dcitr01g0540011
IPR020059	DOMAIN:Glu/Gln-tRNA-synth_Ib_codon-bd	2	Dcitr02g0678011;Dcitr02g0675011
IPR006549	DOMAIN:HAD-SF_hydro_IIIA	2	Dcitr02g1048011;Dcitr02g1043011
IPR018613	FAMILY:Ccdc97-like	1	Dcitr02g1606011
IPR036900	HOMOLOGOUS_SUPERFAMILY:A-D-PHexomutase_C_sf	4	Dcitr05g0982011;Dcitr02g1072011;Dcitr02g1073011;Dcitr02g1072012
IPR015007	DOMAIN:NUP2/50/61	2	Dcitr03g1954011;Dcitr03g1961011
IPR041020	DOMAIN:PH_16	3	Dcitr02g1944011;Dcitr02g1944012;Dcitr04g0156011
IPR023173	HOMOLOGOUS_SUPERFAMILY:NADPH_Cyt_P450_Rdtase_alpha	7	Dcitr10g0454012;Dcitr10g0454013;Dcitr04g0666011;Dcitr10g0454011;Dcitr04g0674011;Dcitr10g0322011;Dcitr04g0672011
IPR026932	DOMAIN:MRF_C1	2	Dcitr08g0450011;Dcitr08g0444011
IPR029145	DOMAIN:NBAS_N	2	Dcitr02g0608011;Dcitr02g0604011
IPR003069	FAMILY:Ecdystd_rcpt	1	Dcitr02g1953011
IPR022495	FAMILY:Bud32	2	Dcitr12g0784011;Dcitr12g0779011
IPR005633	DOMAIN:Ribosomal_L23/L25_N	1	Dcitr12g0182011
IPR004545	FAMILY:PA2G4	1	Dcitr07g0932011
IPR012466	DOMAIN:NECAP_PHear	1	Dcitr02g1419011
IPR017866	CONSERVED_SITE:Succ-CoA_synthase_bsu_CS	6	Dcitr09g0211011;Dcitr01g1165011;Dcitr04g1133011;Dcitr04g1121011;Dcitr09g0202011;Dcitr04g1131011
IPR012501	DOMAIN:Vps54_C	1	Dcitr02g0870011
IPR018109	CONSERVED_SITE:Folylpolyglutamate_synth_CS	5	Dcitr12g0259011;Dcitr12g0259014;Dcitr12g0259015;Dcitr12g0259012;Dcitr12g0259013
IPR028889	DOMAIN:USP_dom	44	Dcitr03g0449011;Dcitr07g0698012;Dcitr02g1361011;Dcitr03g2045011;Dcitr02g0380012;Dcitr07g0600011;Dcitr09g0674011;Dcitr01g1606011;Dcitr07g0607011;Dcitr06g1223011;Dcitr00g0283011;Dcitr02g1360011;Dcitr03g0442011;Dcitr10g0978011;Dcitr02g1362011;Dcitr02g0365011;Dcitr10g0978012;Dcitr09g0673011;Dcitr06g1385011;Dcitr10g0145011;Dcitr11g0516011;Dcitr06g1334011;Dcitr03g1493011;Dcitr08g0852011;Dcitr00g0267011;Dcitr01g1597011;Dcitr03g2039011;Dcitr02g0365012;Dcitr05g1088011;Dcitr01g1597012;Dcitr00g0268011;Dcitr11g0897011;Dcitr11g0891011;Dcitr04g0937011;Dcitr06g1328011;Dcitr01g1202011;Dcitr00g0266011;Dcitr07g0698011;Dcitr03g2043011;Dcitr06g1378011;Dcitr04g0932011;Dcitr06g1382011;Dcitr10g0237011;Dcitr00g0759011
IPR001017	DOMAIN:DH_E1	9	Dcitr06g1534011;Dcitr06g1544011;Dcitr03g0559011;Dcitr06g1213011;Dcitr06g1540011;Dcitr08g0462011;Dcitr00g1126011;Dcitr03g0558011;Dcitr00g1039011
IPR024201	FAMILY:Calcineurin-like_Pesterase	2	Dcitr05g0666011;Dcitr05g0660011
IPR007356	FAMILY:tRNA_m1G_MeTrfase_euk	4	Dcitr02g0670011;Dcitr02g0626011;Dcitr02g0677011;Dcitr02g0674011
IPR017597	FAMILY:Pyrv_DH_E1_asu_subgrp-y	2	Dcitr06g1213011;Dcitr06g1534011
IPR024794	HOMOLOGOUS_SUPERFAMILY:Rbsml_L15e_core_dom_sf	2	Dcitr00g1343011;Dcitr07g1029011
IPR001774	DOMAIN:DSL	9	Dcitr08g0720011;Dcitr03g1438011;Dcitr03g1443011;Dcitr12g0679011;Dcitr12g0659011;Dcitr13g0436011;Dcitr12g0667011;Dcitr13g0440011;Dcitr00g0997011
IPR042234	FAMILY:WDFY1/WDFY2	3	Dcitr04g0912011;Dcitr04g0910011;Dcitr04g0911011
IPR015827	FAMILY:Fut8	1	Dcitr08g1076011
IPR042225	FAMILY:Ncb2	1	Dcitr11g0489011
IPR007010	DOMAIN:PolA_pol_RNA-bd_dom	1	Dcitr04g1264011
IPR008011	FAMILY:Complex1_LYR	5	Dcitr10g0630011;Dcitr09g0429011;Dcitr02g0700011;Dcitr04g0613011;Dcitr10g0621011
IPR039756	FAMILY:Lsb6/PI4K2	2	Dcitr03g1623011;Dcitr03g1630011
IPR002470	FAMILY:Peptidase_S9A	3	Dcitr01g1720012;Dcitr02g1018011;Dcitr01g1720011
IPR008211	DOMAIN:Laminin_N	5	Dcitr05g0128011;Dcitr05g0127011;Dcitr05g0123011;Dcitr05g1482011;Dcitr12g0801011
IPR000756	DOMAIN:Diacylglycerol_kin_accessory	9	Dcitr07g0879011;Dcitr09g0908011;Dcitr01g1827011;Dcitr06g1403011;Dcitr06g1397011;Dcitr07g0876011;Dcitr01g1826011;Dcitr07g0879012;Dcitr09g0904011
IPR002931	DOMAIN:Transglutaminase-like	4	Dcitr04g1285011;Dcitr13g0634011;Dcitr13g0634012;Dcitr10g0724011
IPR020578	BINDING_SITE:Aminotrans_V_PyrdxlP_BS	4	Dcitr07g0616012;Dcitr07g0616014;Dcitr07g0616011;Dcitr07g0616013
IPR032067	DOMAIN:FOXO-TAD	2	Dcitr06g1422012;Dcitr06g1422011
IPR000493	FAMILY:InsP3_rcpt	1	Dcitr08g1140011
IPR037827	DOMAIN:SNX27_FERM-like_dom	1	Dcitr11g0956011
IPR029062	HOMOLOGOUS_SUPERFAMILY:Class_I_gatase-like	17	Dcitr01g1603011;Dcitr06g0226011;Dcitr02g0962011;Dcitr02g0954011;Dcitr06g0205011;Dcitr07g0763011;Dcitr01g1349011;Dcitr01g0927011;Dcitr02g1207011;Dcitr01g1599012;Dcitr10g0573011;Dcitr00g0669011;Dcitr01g1599011;Dcitr02g1199011;Dcitr01g0929011;Dcitr00g0856011;Dcitr07g0754011
IPR003764	FAMILY:GlcNAc_6-P_deAcase	1	Dcitr06g1037011
IPR001158	DOMAIN:DIX	1	Dcitr01g0383011
IPR007852	FAMILY:Cdc73/Parafibromin	1	Dcitr05g1060011
IPR031631	DOMAIN:Glyco_hydro_63N	2	Dcitr03g2081011;Dcitr03g2083011
IPR001050	FAMILY:Syndecan	1	Dcitr01g1853011
IPR018163	HOMOLOGOUS_SUPERFAMILY:Thr/Ala-tRNA-synth_IIc_edit	10	Dcitr04g1490011;Dcitr06g0224011;Dcitr04g0994011;Dcitr04g0990011;Dcitr02g0775011;Dcitr06g0203011;Dcitr01g1943011;Dcitr04g0998011;Dcitr02g0773011;Dcitr00g0776011
IPR013655	DOMAIN:PAS_fold_3	6	Dcitr08g0219011;Dcitr03g2056012;Dcitr08g0218011;Dcitr03g2031011;Dcitr03g2056011;Dcitr08g0553011
IPR036637	HOMOLOGOUS_SUPERFAMILY:Phosphohistidine_dom_sf	4	Dcitr02g0248011;Dcitr02g0247011;Dcitr02g0250011;Dcitr02g0246011
IPR015917	DOMAIN:Pept_C14A	7	Dcitr06g1281011;Dcitr02g2013011;Dcitr06g1279011;Dcitr06g1159011;Dcitr06g1160011;Dcitr06g1284011;Dcitr06g1161011
IPR025110	DOMAIN:AMP-bd_C	20	Dcitr01g1019011;Dcitr05g1604012;Dcitr06g0932011;Dcitr03g0267011;Dcitr05g1604011;Dcitr06g0932012;Dcitr08g0878012;Dcitr06g0141011;Dcitr06g0149011;Dcitr08g0764011;Dcitr08g0878011;Dcitr06g0925011;Dcitr02g1533011;Dcitr00g1490011;Dcitr08g0878015;Dcitr03g0269011;Dcitr02g1535011;Dcitr08g0878013;Dcitr08g0878014;Dcitr06g0925012
IPR040364	FAMILY:TTC21A/TTC21B	2	Dcitr12g1005011;Dcitr12g1008011
IPR035902	HOMOLOGOUS_SUPERFAMILY:Nuc_phospho_transferase	1	Dcitr06g0297011
IPR001556	FAMILY:Bombsn_rcpt-like	1	Dcitr01g0541011
IPR029016	HOMOLOGOUS_SUPERFAMILY:GAF-like_dom_sf	9	Dcitr09g0119011;Dcitr09g0116011;Dcitr09g0117011;Dcitr01g2210011;Dcitr09g0115011;Dcitr09g0118011;Dcitr03g0503011;Dcitr06g0388011;Dcitr01g2212011
IPR027659	FAMILY:Sgcb	2	Dcitr03g1725011;Dcitr03g1732011
IPR013806	HOMOLOGOUS_SUPERFAMILY:Kringle-like	7	Dcitr06g0979011;Dcitr05g1443012;Dcitr05g1443011;Dcitr06g0950011;Dcitr08g1045011;Dcitr05g1337011;Dcitr08g1044011
IPR004163	BINDING_SITE:CoA_transf_BS	2	Dcitr00g0924011;Dcitr00g1260011
IPR040115	FAMILY:Lnp	1	Dcitr07g0641011
IPR032157	FAMILY:PAC4	1	Dcitr03g0875011
IPR027109	FAMILY:Swc4/Dmap1	1	Dcitr02g0718011
IPR038184	HOMOLOGOUS_SUPERFAMILY:CSTF1_dimer_sf	1	Dcitr09g0148011
IPR018378	CONSERVED_SITE:C-type_lectin_CS	4	Dcitr05g1536011;Dcitr05g1300011;Dcitr10g0184011;Dcitr04g1489011
IPR036465	HOMOLOGOUS_SUPERFAMILY:vWFA_dom_sf	31	Dcitr01g0132011;Dcitr02g1098011;Dcitr03g1380011;Dcitr02g0740011;Dcitr06g1185011;Dcitr02g1251011;Dcitr06g1297011;Dcitr11g0312011;Dcitr08g0324011;Dcitr03g1378011;Dcitr02g1919011;Dcitr03g0362011;Dcitr11g0785011;Dcitr02g1241011;Dcitr06g0505011;Dcitr03g1951011;Dcitr00g0732011;Dcitr06g1182011;Dcitr06g1294011;Dcitr03g1380012;Dcitr02g1099011;Dcitr12g0913011;Dcitr02g0166011;Dcitr06g1470011;Dcitr02g1937011;Dcitr12g0903011;Dcitr10g0722011;Dcitr03g1678011;Dcitr11g0783011;Dcitr01g0132012;Dcitr10g0725011
IPR039231	FAMILY:TPGS2	1	Dcitr02g1024011
IPR018737	FAMILY:DREAM_LIN52	1	Dcitr05g1587011
IPR007205	DOMAIN:Protein_HGH1_N	3	Dcitr11g0362011;Dcitr11g0373011;Dcitr11g0359011
IPR027350	DOMAIN:GT23_dom	4	Dcitr01g1304011;Dcitr11g0190011;Dcitr11g0191011;Dcitr08g1076011
IPR019804	CONSERVED_SITE:Ras_G-nucl-exch_fac_CS	15	Dcitr02g1574012;Dcitr06g0259011;Dcitr02g1574015;Dcitr02g1574014;Dcitr02g1574013;Dcitr04g0172011;Dcitr06g1373013;Dcitr02g1574011;Dcitr02g1374011;Dcitr06g1373011;Dcitr06g1369012;Dcitr08g0939011;Dcitr06g1369011;Dcitr04g0172012;Dcitr06g1373012
IPR036068	HOMOLOGOUS_SUPERFAMILY:Nicotinate_pribotase-like_C	2	Dcitr01g0417011;Dcitr01g0418011
IPR000092	FAMILY:Polyprenyl_synt	16	Dcitr13g0709011;Dcitr07g1268011;Dcitr02g1077011;Dcitr11g0451011;Dcitr13g0707011;Dcitr11g0449011;Dcitr13g0709012;Dcitr09g0146013;Dcitr07g1267011;Dcitr09g0146014;Dcitr02g1081011;Dcitr13g0709013;Dcitr09g0146012;Dcitr00g0489011;Dcitr09g0146011;Dcitr09g0146015
IPR005378	FAMILY:Vps35	1	Dcitr08g0779011
IPR036401	HOMOLOGOUS_SUPERFAMILY:RPS17e-like_sf	1	Dcitr11g0890011
IPR017873	REPEAT:Cys-rich_GLG1_repeat_euk	1	Dcitr04g1199011
IPR020052	CONSERVED_SITE:Ribosomal_L31e_CS	1	Dcitr06g0605011
IPR032821	DOMAIN:KAsynt_C_assoc	6	Dcitr07g1043011;Dcitr02g1496011;Dcitr02g1501011;Dcitr02g0336011;Dcitr07g1045011;Dcitr02g0310011
IPR005706	FAMILY:Ribosomal_S2_bac/mit/plastid	1	Dcitr05g1523011
IPR039223	FAMILY:AATF/Bfr2	1	Dcitr01g1255011
IPR013126	FAMILY:Hsp_70_fam	23	Dcitr12g0790011;Dcitr03g0885011;Dcitr03g0884011;Dcitr01g1981011;Dcitr10g0704011;Dcitr12g0550011;Dcitr12g0542011;Dcitr10g0715011;Dcitr00g1163011;Dcitr03g0897011;Dcitr09g0629011;Dcitr04g1265011;Dcitr10g0432011;Dcitr03g0889011;Dcitr10g0651011;Dcitr01g1979011;Dcitr08g0313011;Dcitr09g0625011;Dcitr02g1974011;Dcitr00g1226011;Dcitr12g0542012;Dcitr08g0269011;Dcitr12g0787011
IPR005824	DOMAIN:KOW	8	Dcitr05g1156011;Dcitr05g1439011;Dcitr02g1371011;Dcitr03g0707011;Dcitr06g0159011;Dcitr03g0718011;Dcitr05g1154011;Dcitr03g0717011
IPR010422	FAMILY:Ccdc124/Oxs1	2	Dcitr02g0273011;Dcitr02g0274011
IPR029717	FAMILY:FAM193	2	Dcitr03g1783011;Dcitr12g0641011
IPR027514	FAMILY:Salvage_MtnB_euk	2	Dcitr05g1113011;Dcitr05g1119011
IPR006175	FAMILY:YjgF/YER057c/UK114	2	Dcitr08g0916011;Dcitr12g0258011
IPR039259	FAMILY:Protein_maelstrom	3	Dcitr03g0808011;Dcitr04g0964011;Dcitr04g0956011
IPR036418	HOMOLOGOUS_SUPERFAMILY:Cyt_c_oxidase_su6a_sf	5	Dcitr12g0727011;Dcitr12g0732011;Dcitr12g0727012;Dcitr12g0723011;Dcitr12g0721011
IPR020849	FAMILY:Small_GTPase_Ras-type	26	Dcitr08g0547011;Dcitr00g0621011;Dcitr03g0751011;Dcitr13g0406011;Dcitr12g0348011;Dcitr02g1912011;Dcitr02g1911011;Dcitr10g0159011;Dcitr01g1118011;Dcitr01g1766011;Dcitr05g1720011;Dcitr08g0145013;Dcitr08g0145011;Dcitr02g1017011;Dcitr03g0751012;Dcitr07g0737011;Dcitr05g1722011;Dcitr01g1333011;Dcitr08g0145012;Dcitr07g0777011;Dcitr10g0166011;Dcitr05g1374011;Dcitr03g0748011;Dcitr03g0725011;Dcitr00g1308011;Dcitr01g1766012
IPR016477	FAMILY:Fructo-/Ketosamine-3-kinase	5	Dcitr12g0407013;Dcitr12g0412011;Dcitr12g0407012;Dcitr12g0407014;Dcitr12g0407011
IPR022127	FAMILY:STIMATE/YPL162C	2	Dcitr13g0540011;Dcitr13g0538011
IPR017359	FAMILY:UCP038021_RWD	1	Dcitr06g1479011
IPR028942	DOMAIN:WHIM1_dom	4	Dcitr03g1428011;Dcitr10g1011012;Dcitr03g1434011;Dcitr10g1013011
IPR005016	FAMILY:TDE1/TMS	2	Dcitr09g0960011;Dcitr09g0958011
IPR013992	DOMAIN:Adenylate_cyclase-assoc_CAP_N	4	Dcitr00g0442011;Dcitr01g1497012;Dcitr01g1498011;Dcitr01g1497011
IPR018168	CONSERVED_SITE:Ubi_Hdrlase_CS	2	Dcitr03g1246011;Dcitr03g1252011
IPR019366	FAMILY:Clusterin-associated_protein-1	2	Dcitr07g1222011;Dcitr07g1227011
IPR039911	FAMILY:JIP3/JIP4	3	Dcitr05g0702013;Dcitr05g0702012;Dcitr05g0702011
IPR004001	CONSERVED_SITE:Actin_CS	3	Dcitr01g1961011;Dcitr07g0236011;Dcitr07g0237011
IPR023270	FAMILY:RCMT_NCL1	1	Dcitr04g0419011
IPR005595	FAMILY:TRAP_alpha	2	Dcitr06g1449011;Dcitr06g1445011
IPR041086	DOMAIN:YBD	1	Dcitr06g0575011
IPR037227	HOMOLOGOUS_SUPERFAMILY:EndoU-like	5	Dcitr03g1719011;Dcitr03g1722011;Dcitr03g0680011;Dcitr03g0677011;Dcitr03g1735011
IPR007259	FAMILY:GCP	9	Dcitr05g0492011;Dcitr01g2037011;Dcitr06g0214011;Dcitr03g0867011;Dcitr01g2032011;Dcitr05g0497012;Dcitr05g0497011;Dcitr01g2035011;Dcitr03g0868011
IPR027057	FAMILY:CAXX_Prtase_1	4	Dcitr03g1929011;Dcitr01g0234011;Dcitr03g1928011;Dcitr03g1918011
IPR005814	FAMILY:Aminotrans_3	8	Dcitr10g0127011;Dcitr03g0239011;Dcitr06g0593011;Dcitr03g0257011;Dcitr03g0238011;Dcitr03g0242011;Dcitr10g0108011;Dcitr00g0422011
IPR017901	DOMAIN:C-CAP_CF_C-like	10	Dcitr00g0442011;Dcitr02g1750011;Dcitr02g1046014;Dcitr01g1498011;Dcitr01g1497011;Dcitr02g1046015;Dcitr02g1046011;Dcitr01g1497012;Dcitr02g1046012;Dcitr02g1046013
IPR034098	FAMILY:Sm_G	3	Dcitr03g0237011;Dcitr03g0243011;Dcitr03g0256011
IPR042343	FAMILY:BANP	1	Dcitr05g0913011
IPR012675	HOMOLOGOUS_SUPERFAMILY:Beta-grasp_dom_sf	12	Dcitr02g0270011;Dcitr07g0353011;Dcitr05g1321011;Dcitr00g0458011;Dcitr06g0203011;Dcitr05g1322011;Dcitr00g0958011;Dcitr08g0905011;Dcitr00g1320011;Dcitr10g0560011;Dcitr04g1490011;Dcitr06g0224011
IPR037968	DOMAIN:PBRM1_BD5	1	Dcitr11g0393011
IPR026680	FAMILY:CCDC137	1	Dcitr07g0640011
IPR012144	FAMILY:NOS_euk	1	Dcitr10g0322011
IPR038662	HOMOLOGOUS_SUPERFAMILY:ATP_synth_F0_csu_sf	2	Dcitr07g1216011;Dcitr07g1217011
IPR004119	FAMILY:EcKinase-like	7	Dcitr02g1031011;Dcitr12g0683011;Dcitr01g2224011;Dcitr06g0580011;Dcitr12g0684011;Dcitr12g0681011;Dcitr12g0694011
IPR001329	FAMILY:Venom_Hyaluronidase	2	Dcitr01g0836011;Dcitr01g0844011
IPR035764	DOMAIN:SPRY2_RyR	1	Dcitr04g0444011
IPR035810	FAMILY:PEBP_euk	15	Dcitr00g0906011;Dcitr03g0514011;Dcitr03g0517011;Dcitr03g0577011;Dcitr03g0514012;Dcitr03g0515011;Dcitr05g1339011;Dcitr03g0576011;Dcitr03g0574011;Dcitr04g1047011;Dcitr03g0585011;Dcitr04g1050011;Dcitr03g0575011;Dcitr03g0513011;Dcitr03g0516011
IPR022357	CONSERVED_SITE:MIP_CS	12	Dcitr02g0798011;Dcitr02g0800011;Dcitr08g1199011;Dcitr13g0153011;Dcitr08g1179011;Dcitr01g1630011;Dcitr13g0151011;Dcitr13g0152011;Dcitr01g1626011;Dcitr02g0796011;Dcitr07g1280011;Dcitr08g1200011
IPR030172	FAMILY:KCNH6	2	Dcitr01g0924011;Dcitr01g0926011
IPR000591	DOMAIN:DEP_dom	15	Dcitr02g1574011;Dcitr02g1574013;Dcitr02g1574014;Dcitr08g0723012;Dcitr08g0726012;Dcitr08g0791011;Dcitr02g1574015;Dcitr01g0429011;Dcitr02g1574012;Dcitr08g0723011;Dcitr08g0726011;Dcitr08g0682011;Dcitr01g1037011;Dcitr08g0683011;Dcitr01g0383011
IPR000217	FAMILY:Tubulin	16	Dcitr03g0565011;Dcitr01g1496011;Dcitr02g0855011;Dcitr09g0265011;Dcitr10g0648011;Dcitr10g0773011;Dcitr07g0746011;Dcitr03g1513011;Dcitr03g0169011;Dcitr04g0107011;Dcitr01g1500011;Dcitr02g0477011;Dcitr06g0120011;Dcitr03g0993011;Dcitr08g0368011;Dcitr09g0270011
IPR026147	FAMILY:Rab3-GAP_cat_su	3	Dcitr04g1522011;Dcitr04g1513011;Dcitr04g1515011
IPR019355	FAMILY:Cell_cycle_regulator_Mat89Bb	2	Dcitr07g0781011;Dcitr07g0781012
IPR028375	HOMOLOGOUS_SUPERFAMILY:KA1/Ssp2_C	5	Dcitr06g0591011;Dcitr06g0590011;Dcitr04g0520011;Dcitr01g0659011;Dcitr04g0516011
IPR016239	FAMILY:Ribosomal_S6_kinase_II	2	Dcitr09g0305011;Dcitr09g0303011
IPR029056	HOMOLOGOUS_SUPERFAMILY:Ribokinase-like	14	Dcitr02g0208011;Dcitr00g0824011;Dcitr01g0711011;Dcitr01g0711012;Dcitr12g0272011;Dcitr01g0111011;Dcitr04g1675012;Dcitr01g1709011;Dcitr04g1675011;Dcitr03g0542011;Dcitr00g0556011;Dcitr00g0962011;Dcitr02g0207011;Dcitr00g0450011
IPR035914	HOMOLOGOUS_SUPERFAMILY:Sperma_CUB_dom_sf	38	Dcitr01g1378011;Dcitr01g1363011;Dcitr06g0139011;Dcitr01g1377011;Dcitr02g1296011;Dcitr12g0110011;Dcitr12g0109012;Dcitr07g0783011;Dcitr04g0102011;Dcitr00g0628011;Dcitr01g1555011;Dcitr11g0578011;Dcitr12g0685011;Dcitr12g1016011;Dcitr11g0575011;Dcitr13g0619011;Dcitr12g0695011;Dcitr06g0134011;Dcitr11g0577011;Dcitr13g0617011;Dcitr09g0850011;Dcitr10g0539012;Dcitr07g0348011;Dcitr03g1653011;Dcitr10g0539011;Dcitr02g0648011;Dcitr01g1385011;Dcitr00g0862011;Dcitr02g0636011;Dcitr10g0394011;Dcitr12g0109011;Dcitr06g0136011;Dcitr04g1147011;Dcitr08g0751011;Dcitr00g0507011;Dcitr04g1149011;Dcitr05g0997011;Dcitr12g0599011
IPR006708	FAMILY:Pex19	4	Dcitr10g0736012;Dcitr10g0735011;Dcitr10g0730011;Dcitr10g0736011
IPR035566	HOMOLOGOUS_SUPERFAMILY:Ribosomal_protein_L20_C	1	Dcitr04g0652011
IPR016715	FAMILY:PAF_acetylhydro_eukaryote	1	Dcitr01g1983011
IPR034798	DOMAIN:PTBP1/2/3_RRM2	4	Dcitr01g1326014;Dcitr01g1326012;Dcitr01g1326011;Dcitr01g1326013
IPR019164	FAMILY:TMEM147	2	Dcitr02g0588011;Dcitr02g0598011
IPR042276	HOMOLOGOUS_SUPERFAMILY:CapZ_alpha/beta_2	3	Dcitr01g2063011;Dcitr01g2061011;Dcitr01g1381011
IPR040455	DOMAIN:Atg6_BARA	1	Dcitr03g0655011
IPR033925	DOMAIN:Rad51_DMC1_RadA	3	Dcitr03g0970011;Dcitr03g0968011;Dcitr03g0972011
IPR029585	FAMILY:Pxd-like	9	Dcitr07g0657011;Dcitr07g1289011;Dcitr07g1290011;Dcitr07g0742011;Dcitr08g0272011;Dcitr08g0308011;Dcitr01g1129011;Dcitr07g0658011;Dcitr07g0742012
IPR002073	DOMAIN:PDEase_catalytic_dom	12	Dcitr04g0587011;Dcitr09g0119011;Dcitr00g0104011;Dcitr09g0117011;Dcitr01g2210011;Dcitr13g0565011;Dcitr03g0503011;Dcitr13g0566011;Dcitr13g0567011;Dcitr04g0588011;Dcitr01g2212011;Dcitr05g1115011
IPR036458	HOMOLOGOUS_SUPERFAMILY:Na:dicarbo_symporter_sf	11	Dcitr02g1879013;Dcitr02g0701011;Dcitr02g1879011;Dcitr02g0696011;Dcitr02g1877011;Dcitr02g0696012;Dcitr02g1879012;Dcitr02g1882011;Dcitr02g0167013;Dcitr02g0167011;Dcitr02g0167012
IPR006785	DOMAIN:Pex14_N	1	Dcitr02g1158011
IPR040961	DOMAIN:CSN5_C	1	Dcitr10g0139011
