Query_ID	Query_length	Query_start	Query_end	Subject_ID	Subject_length	Subject_start	Subject_end	E_value	Percent_ID	Query_coverage	Percent_positive_ID	Gap_openings	Total_gaps	Bitscore	Raw_score
Dcitr00g01400.1.1	260	1	261	RSSA_DROME	259	1	260	6.45e-128	72.556	86	80.45	2	11	365	937
Dcitr00g01430.1.1	165	1	166	Q9VF02_DROME	167	1725	1892	1.12e-73	71.006	94	82.25	2	4	240	612
Dcitr00g01430.1.1	159	1	160	Q54M42_DICDI	157	1791	1948	4.46e-72	72.500	91	83.12	1	2	236	601
Dcitr00g01740.1.1	413	1	414	PGK_DROME	413	1	414	0.0	76.087	99	86.23	0	0	647	1669
Dcitr00g01740.1.1	413	1	414	PGK_SCHMA	413	1	414	0.0	70.048	99	82.61	0	0	601	1550
Dcitr00g01860.1.1	145	1	146	Q9W0Q2_DROME	145	29	174	5.93e-92	82.877	97	90.41	0	0	264	675
Dcitr00g01860.1.1	143	1	144	Q18445_CAEEL	143	18	161	8.19e-77	70.833	96	84.72	0	0	226	575
Dcitr00g02010.1.1	185	1	186	ARL8_DROME	185	1	186	4.20e-123	86.559	99	94.09	0	0	345	884
Dcitr00g02010.1.1	183	1	184	G5EDC6_CAEEL	183	1	184	4.97e-115	80.978	98	92.93	0	0	324	831
Dcitr00g02440.1.1	230	29	259	PTP10_DROME	231	108	339	2.95e-106	71.121	85	81.03	1	1	338	867
Dcitr00g02500.1.1	174	1	175	Q960U8_DROME	174	384	558	1.04e-92	71.429	96	82.86	0	0	280	717
Dcitr00g02500.1.1	174	1	175	Q8ST50_DROME	174	384	558	1.07e-92	71.429	96	82.86	0	0	280	717
Dcitr00g02510.1.1	174	1	175	Q960U8_DROME	174	384	558	1.04e-92	71.429	96	82.86	0	0	280	717
Dcitr00g02510.1.1	174	1	175	Q8ST50_DROME	174	384	558	1.07e-92	71.429	96	82.86	0	0	280	717
Dcitr00g02560.1.1	61	839	900	MELT_DROME	61	915	976	1.36e-25	82.258	98	95.16	0	0	114	285
Dcitr00g03030.1.1	413	1	414	MCCB_DROME	430	80	510	0.0	71.462	99	81.90	4	17	632	1629
Dcitr00g03030.1.1	410	1	411	MCCB_CAEEL	411	126	537	0.0	70.388	98	83.74	1	1	617	1590
Dcitr00g03250.1.1	160	1	161	Q9V4B2_DROME	161	1	162	1.93e-76	70.370	98	80.86	1	1	232	592
Dcitr00g03250.1.2	160	1	161	Q9V4B2_DROME	161	1	162	1.93e-76	70.370	98	80.86	1	1	232	592
Dcitr00g03310.1.1	159	1	160	SAN_DROME	160	1	161	4.19e-98	81.366	95	90.68	1	1	281	718
Dcitr00g03470.1.1	152	315	467	PTRO_DROME	149	1481	1630	5.70e-72	71.242	88	84.31	1	3	248	632
Dcitr00g03470.1.2	152	339	491	PTRO_DROME	149	1481	1630	1.33e-71	71.242	84	84.31	1	3	247	631
Dcitr00g03470.1.3	152	407	559	PTRO_DROME	149	1481	1630	7.25e-71	71.242	78	84.31	1	3	248	632
Dcitr00g03570.1.1	81	1	82	ELOF1_CAEEL	81	1	82	5.05e-41	71.951	99	81.71	0	0	129	324
Dcitr00g03600.1.1	81	1	82	ELOF1_CAEEL	81	1	82	5.05e-41	71.951	99	81.71	0	0	129	324
Dcitr00g03920.1.1	522	174	696	O61360_DROME	521	207	728	0.0	72.137	75	84.92	2	3	826	2133
Dcitr00g03920.1.1	480	174	654	O61361_DROME	479	207	686	0.0	73.651	75	86.10	2	3	779	2012
Dcitr00g04390.1.1	241	7	248	CSK2A_DROME	241	4	245	1.41e-124	75.207	95	85.95	0	0	357	916
Dcitr00g04390.1.1	238	10	248	CSK2A_DICDI	238	17	255	1.24e-120	75.732	94	84.94	0	0	347	891
Dcitr00g04390.1.1	243	5	248	CSK2A_CAEEL	245	1	246	1.22e-118	72.764	96	85.77	1	2	343	880
Dcitr00g04530.1.1	65	2	67	Q4R0P9_DROME	65	285	350	5.16e-35	77.273	74	89.39	0	0	123	308
Dcitr00g04530.1.1	65	2	67	Q9VPQ5_DROME	65	285	350	9.43e-35	77.273	74	89.39	0	0	122	306
Dcitr00g04530.1.1	65	2	67	Q95R58_DROME	65	204	269	5.18e-34	77.273	74	89.39	0	0	119	298
Dcitr00g04580.1.1	252	42	294	SDHB_DROME	255	41	296	3.46e-147	77.432	86	83.27	3	5	415	1066
Dcitr00g04800.1.1	182	2	184	ADHX_DROME	182	5	187	3.80e-101	76.503	94	85.79	0	0	296	759
Dcitr00g04870.1.1	68	3	71	TPM1_DROME	68	219	287	1.29e-31	86.957	73	89.86	0	0	113	282
Dcitr00g04870.1.1	68	3	71	TPM4_DROME	68	165	233	1.32e-30	86.957	78	89.86	0	0	112	280
Dcitr00g04870.1.1	68	3	71	TPM_CHIOP	68	165	233	1.31e-29	82.609	73	88.41	0	0	106	265
Dcitr00g04950.1.1	135	1	136	H33B_DROME	135	1	136	2.00e-96	100.000	99	100.00	0	0	273	699
Dcitr00g04950.1.1	135	1	136	H33A_DROME	135	1	136	2.00e-96	100.000	99	100.00	0	0	273	699
Dcitr00g04950.1.1	135	1	136	H332_CAEEL	135	1	136	2.03e-95	98.529	99	100.00	0	0	271	692
Dcitr00g05200.1.1	126	1	127	Q9V4E0_DROME	126	342	468	6.66e-76	83.465	99	93.70	0	0	232	592
Dcitr00g05310.1.1	490	1	491	SARM1_DROME	479	528	1007	0.0	70.732	97	82.32	4	13	733	1893
Dcitr00g05370.1.1	128	28	156	Q7JZW2_DROME	128	20	148	3.59e-70	71.318	82	88.37	0	0	208	530
Dcitr00g05370.1.1	128	28	156	A1ZAH8_DROME	128	19	147	3.84e-70	71.318	82	88.37	0	0	208	530
Dcitr00g05410.1.1	131	1	132	Q9VXK7_DROME	131	90	221	6.45e-84	81.818	99	93.18	0	0	244	624
Dcitr00g05410.1.1	131	1	132	Q9VAK5_DROME	131	81	212	1.59e-82	81.818	99	92.42	0	0	241	614
Dcitr00g05610.1.1	58	15	73	Q9V3I2_DROME	58	25	83	2.61e-22	71.186	80	81.36	0	0	85.5	210
Dcitr00g05800.1.1	173	5	178	ARF6_DROME	173	1	174	4.04e-102	77.011	95	88.51	0	0	291	745
Dcitr00g05800.1.1	173	5	178	Q9U2S4_CAEEL	173	1	174	1.33e-99	74.713	95	87.93	0	0	285	729
Dcitr00g05950.1.1	160	1	161	Q9V4B2_DROME	161	1	162	1.93e-76	70.370	98	80.86	1	1	232	592
Dcitr00g06350.1.1	67	229	296	E1JGN7_DROME	67	421	488	1.67e-18	79.412	71	88.24	0	0	85.9	211
Dcitr00g06350.1.1	67	229	296	Q9V948_DROME	67	418	485	1.41e-18	79.412	71	88.24	0	0	85.9	211
Dcitr00g06350.1.1	71	229	300	A1ZBW0_DROME	71	427	498	1.02e-20	80.556	73	87.50	0	0	92.0	227
Dcitr00g06420.1.1	90	11	101	VATB_CAEEL	90	46	136	9.79e-41	71.429	90	84.62	0	0	140	352
Dcitr00g06460.1.1	556	2	558	G6PI_DROME	554	1	555	0.0	72.172	99	81.33	2	2	827	2135
Dcitr00g06810.1.1	435	1	436	SC6A4_DROME	436	153	589	0.0	78.082	98	89.50	2	3	712	1839
Dcitr00g07000.1.1	223	1	224	Q86P76_DROME	223	309	532	6.84e-113	70.982	75	81.25	0	0	339	870
Dcitr00g07000.1.1	223	1	224	Q9VQC0_DROME	223	309	532	7.95e-113	70.982	75	81.25	0	0	339	870
Dcitr00g07120.1.1	153	1	154	Q7K738_DROME	153	1	154	1.68e-96	82.468	99	93.51	0	0	275	703
Dcitr00g07570.1.1	209	36	245	MOB4_DROME	209	1	210	9.95e-139	84.762	79	92.38	0	0	389	1000
Dcitr00g07570.1.2	177	1	178	MOB4_DROME	177	33	210	1.44e-116	85.393	89	92.70	0	0	330	846
Dcitr00g07570.1.3	209	1	210	MOB4_DROME	209	1	210	6.26e-139	84.762	91	92.38	0	0	388	997
Dcitr00g07580.1.1	303	1	304	RL5_DROME	296	1	297	2.20e-166	72.368	99	82.57	1	7	464	1193
Dcitr00g07660.1.1	61	7	68	PDE4C_DROME	59	312	371	3.43e-26	85.484	90	87.10	2	2	99.4	246
Dcitr00g07660.1.1	59	7	66	PDE4B_DROME	57	386	443	6.15e-26	86.667	87	88.33	2	2	98.6	244
Dcitr00g07660.1.1	59	7	66	PDE4A_DROME	57	525	582	7.49e-26	86.667	87	88.33	2	2	98.6	244
Dcitr00g08430.1.1	133	1	134	Q1HQ70_BOMMO	133	1	134	4.92e-82	83.582	89	91.04	0	0	239	611
Dcitr00g08430.1.1	144	1	145	Q9VZI1_DROME	140	1	141	4.22e-74	73.793	97	83.45	1	4	219	559
Dcitr00g08430.1.1	129	16	145	M9PE30_DROME	125	3	128	3.22e-63	71.538	87	81.54	1	4	191	486
Dcitr00g08770.1.1	127	1	128	RL40_CAEEL	127	1	128	4.44e-82	89.062	99	95.31	0	0	236	603
Dcitr00g08770.1.1	127	1	128	RL40_DROME	127	1	128	8.31e-81	87.500	99	93.75	0	0	233	595
Dcitr00g08770.1.1	127	1	128	Q8ID50_PLAF7	127	1	128	5.10e-78	86.719	99	90.62	0	0	226	576
Dcitr00g08900.1.1	306	1	307	U520_DROME	306	423	729	0.0	84.691	100	93.16	0	0	556	1434
Dcitr00g08910.1.1	112	1	113	U520_DROME	112	741	853	1.60e-67	90.265	100	97.35	0	0	219	558
Dcitr00g08980.1.1	99	10	109	TREA_DROME	99	178	277	2.94e-45	72.000	80	83.00	0	0	154	390
Dcitr00g09100.1.1	112	3	115	MED31_DROME	112	8	120	7.12e-64	76.991	75	87.61	0	0	194	493
Dcitr00g09190.1.1	244	9	253	Q86NW1_DROME	244	299	543	5.97e-145	82.041	97	93.47	0	0	419	1076
Dcitr00g09190.1.1	244	9	253	Q8IGS0_DROME	244	299	543	6.37e-145	82.041	97	93.47	0	0	419	1076
