Accession_ID	InterPro_Count	InterPro_IDs	InterPro_Types_and_Names
Dcitr11g0512011	2	IPR036656;IPR008027	"HOMOLOGOUS_SUPERFAMILY:QCR9_sf";"FAMILY:QCR9"
Dcitr01g0599012	3	IPR033379;IPR000560;IPR029033	"ACTIVE_SITE:Acid_Pase_AS";"FAMILY:His_Pase_clade-2";"HOMOLOGOUS_SUPERFAMILY:His_PPase_superfam"
Dcitr00g0594011	5	IPR007865;IPR036005;IPR000994;IPR029149;IPR001131	"DOMAIN:Aminopep_P_N";"HOMOLOGOUS_SUPERFAMILY:Creatinase/aminopeptidase-like";"DOMAIN:Pept_M24";"HOMOLOGOUS_SUPERFAMILY:Creatin/AminoP/Spt16_NTD";"CONSERVED_SITE:Peptidase_M24B_aminopep-P_CS"
Dcitr05g0781011	4	IPR001356;IPR017970;IPR001781;IPR009057	"DOMAIN:Homeobox_dom";"CONSERVED_SITE:Homeobox_CS";"DOMAIN:Znf_LIM";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf"
Dcitr02g0681011	7	IPR001161;IPR027417;IPR006935;IPR032830;IPR001650;IPR032438;IPR014001	"FAMILY:XPB/Ssl2";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"DOMAIN:Helicase/UvrB_N";"DOMAIN:XPB/Ssl2_N";"DOMAIN:Helicase_C";"DOMAIN:ERCC3_RAD25_C";"DOMAIN:Helicase_ATP-bd"
Dcitr01g0242011	1	IPR032675	"HOMOLOGOUS_SUPERFAMILY:LRR_dom_sf"
Dcitr02g0674011	5	IPR016653;IPR007356;IPR016009;IPR028564;IPR038459	"FAMILY:TRM10/TRM10A";"FAMILY:tRNA_m1G_MeTrfase_euk";"DOMAIN:tRNA_MeTrfase_TRMD/TRM10";"DOMAIN:MT_TRM10-typ";"HOMOLOGOUS_SUPERFAMILY:MT_TRM10-typ_sf"
Dcitr12g0434011	1	IPR039686	"FAMILY:FANCM/Mph1-like"
Dcitr07g0427011	2	IPR029063;IPR001525	"HOMOLOGOUS_SUPERFAMILY:SAM-dependent_MTases";"FAMILY:C5_MeTfrase"
Dcitr12g0786011	3	IPR012677;IPR035979;IPR000504	"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom"
Dcitr03g0226011	1	IPR004345	"FAMILY:TB2_DP1_HVA22"
Dcitr10g0566011	1	IPR002549	"FAMILY:AI-2E-like"
Dcitr01g1889011	1	IPR014720	"DOMAIN:dsRBD_dom"
Dcitr10g0736012	2	IPR038322;IPR006708	"HOMOLOGOUS_SUPERFAMILY:Pex19_C_sf";"FAMILY:Pex19"
Dcitr01g0978011	16	IPR005225;IPR005517;IPR027417;IPR035647;IPR014721;IPR000640;IPR036249;IPR036282;IPR004161;IPR031950;IPR000795;IPR041095;IPR035655;IPR020568;IPR009000;IPR031157	"DOMAIN:Small_GTP-bd_dom";"DOMAIN:Transl_elong_EFG/EF2_IV";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"HOMOLOGOUS_SUPERFAMILY:EFG_III/V";"HOMOLOGOUS_SUPERFAMILY:Ribosomal_S5_D2-typ_fold_subgr";"DOMAIN:EFG_V-like";"HOMOLOGOUS_SUPERFAMILY:Thioredoxin-like_sf";"HOMOLOGOUS_SUPERFAMILY:Glutathione-S-Trfase_C_sf";"DOMAIN:EFTu-like_2";"DOMAIN:EFTUD2_N";"DOMAIN:TF_GTP-bd_dom";"DOMAIN:EFG_II";"DOMAIN:U5-116kDa_C";"HOMOLOGOUS_SUPERFAMILY:Ribosomal_S5_D2-typ_fold";"HOMOLOGOUS_SUPERFAMILY:Transl_B-barrel_sf";"CONSERVED_SITE:G_TR_CS"
Dcitr05g1399011	3	IPR000639;IPR029058;IPR010497	"FAMILY:Epox_hydrolase-like";"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase";"DOMAIN:Epoxide_hydro_N"
Dcitr03g1340011	2	IPR035595;IPR002213	"DOMAIN:UDP_glycos_trans_CS";"FAMILY:UDP_glucos_trans"
Dcitr00g1442011	2	IPR029058;IPR002018	"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase";"DOMAIN:CarbesteraseB"
Dcitr06g1100011	5	IPR004530;IPR036690;IPR006195;IPR002319;IPR005121	"FAMILY:Phe-tRNA-synth_IIc_mito";"HOMOLOGOUS_SUPERFAMILY:Fdx_antiC-bd_sf";"DOMAIN:aa-tRNA-synth_II";"DOMAIN:Phenylalanyl-tRNA_Synthase";"DOMAIN:Fdx_antiC-bd"
Dcitr00g0429011	1	IPR000163	"FAMILY:Prohibitin"
Dcitr02g0731011	6	IPR027120;IPR036277;IPR027417;IPR003395;IPR024704;IPR010935	"DOMAIN:Smc2_ABC";"HOMOLOGOUS_SUPERFAMILY:SMC_hinge_sf";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase";"DOMAIN:RecF/RecN/SMC_N";"FAMILY:SMC";"DOMAIN:SMC_hinge"
Dcitr05g0602011	5	IPR001958;IPR020846;IPR036259;IPR005829;IPR011701	"FAMILY:Tet-R_TetA/multi-R_MdtG";"DOMAIN:MFS_dom";"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"CONSERVED_SITE:Sugar_transporter_CS";"FAMILY:MFS"
Dcitr06g1064011	7	IPR001412;IPR009080;IPR014729;IPR002300;IPR009008;IPR013155;IPR004493	"CONSERVED_SITE:aa-tRNA-synth_I_CS";"HOMOLOGOUS_SUPERFAMILY:tRNAsynth_Ia_anticodon-bd";"HOMOLOGOUS_SUPERFAMILY:Rossmann-like_a/b/a_fold";"DOMAIN:aa-tRNA-synth_Ia";"HOMOLOGOUS_SUPERFAMILY:Val/Leu/Ile-tRNA-synth_edit";"DOMAIN:M/V/L/I-tRNA-synth_anticd-bd";"FAMILY:Leu-tRNA-synth_Ia_arc/euk"
Dcitr04g1307011	1	IPR011990	"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf"
Dcitr08g1154011	6	IPR018000;IPR036719;IPR006029;IPR036734;IPR006201;IPR006202	"CONSERVED_SITE:Neurotransmitter_ion_chnl_CS";"HOMOLOGOUS_SUPERFAMILY:Neuro-gated_channel_TM_sf";"DOMAIN:Neurotrans-gated_channel_TM";"HOMOLOGOUS_SUPERFAMILY:Neur_chan_lig-bd_sf";"FAMILY:Neur_channel";"DOMAIN:Neur_chan_lig-bd"
Dcitr07g0215011	1	IPR031542	"DOMAIN:UNC80_N"
Dcitr07g0219011	7	IPR005142;IPR005140;IPR042226;IPR038069;IPR004405;IPR005141;IPR029064	"DOMAIN:eRF1_3";"DOMAIN:eRF1_1_Pelota";"HOMOLOGOUS_SUPERFAMILY:eFR1_2_sf";"HOMOLOGOUS_SUPERFAMILY:Pelota/DOM34_N";"FAMILY:Transl-rel_pelota";"DOMAIN:eRF1_2";"HOMOLOGOUS_SUPERFAMILY:L30e-like"
Dcitr13g0486011	2	IPR024317;IPR027417	"DOMAIN:Dynein_heavy_chain_D4_dom";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr02g1336011	2	IPR013083;IPR001841	"HOMOLOGOUS_SUPERFAMILY:Znf_RING/FYVE/PHD";"DOMAIN:Znf_RING"
Dcitr09g0327012	2	IPR000210;IPR011333	"DOMAIN:BTB/POZ_dom";"HOMOLOGOUS_SUPERFAMILY:SKP1/BTB/POZ_sf"
Dcitr04g0512011	1	IPR036322	"HOMOLOGOUS_SUPERFAMILY:WD40_repeat_dom_sf"
Dcitr04g1196011	1	IPR009069	"HOMOLOGOUS_SUPERFAMILY:Cys_alpha_HP_mot_SF"
Dcitr01g1447011	2	IPR036291;IPR002347	"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf";"FAMILY:SDR_fam"
Dcitr09g0950011	2	IPR038606;IPR010562	"HOMOLOGOUS_SUPERFAMILY:To_sf";"FAMILY:Haemolymph_juvenile_hormone-bd"
Dcitr03g1765011	2	IPR002347;IPR036291	"FAMILY:SDR_fam";"HOMOLOGOUS_SUPERFAMILY:NAD(P)-bd_dom_sf"
Dcitr09g0594011	1	IPR012464	"FAMILY:DUF1676"
Dcitr02g0260011	4	IPR038737;IPR015016;IPR016024;IPR011989	"FAMILY:SF3b_su1-like";"DOMAIN:SF3b_su1";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"HOMOLOGOUS_SUPERFAMILY:ARM-like"
Dcitr13g0275011	3	IPR018247;IPR002048;IPR011992	"BINDING_SITE:EF_Hand_1_Ca_BS";"DOMAIN:EF_hand_dom";"HOMOLOGOUS_SUPERFAMILY:EF-hand-dom_pair"
Dcitr02g1198011	1	IPR018631	"DOMAIN:AAA-ATPase-like_dom"
Dcitr07g0444011	1	IPR026708	"FAMILY:CSPP1"
Dcitr07g0779012	4	IPR000980;IPR036860;IPR036036;IPR001496	"DOMAIN:SH2";"HOMOLOGOUS_SUPERFAMILY:SH2_dom_sf";"HOMOLOGOUS_SUPERFAMILY:SOCS_box-like_dom_sf";"DOMAIN:SOCS_box"
Dcitr08g1234011	4	IPR002048;IPR018247;IPR037629;IPR011992	"DOMAIN:EF_hand_dom";"BINDING_SITE:EF_Hand_1_Ca_BS";"FAMILY:Centrin_2";"HOMOLOGOUS_SUPERFAMILY:EF-hand-dom_pair"
Dcitr03g0697011	1	IPR029033	"HOMOLOGOUS_SUPERFAMILY:His_PPase_superfam"
Dcitr02g0979013	3	IPR012677;IPR035979;IPR000504	"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom"
Dcitr07g0657011	4	IPR029585;IPR037120;IPR019791;IPR010255	"FAMILY:Pxd-like";"HOMOLOGOUS_SUPERFAMILY:Haem_peroxidase_sf_animal";"FAMILY:Haem_peroxidase_animal";"HOMOLOGOUS_SUPERFAMILY:Haem_peroxidase_sf"
Dcitr00g0210011	2	IPR006603;IPR005282	"REPEAT:PQ-loop_rpt";"FAMILY:LC_transporter"
Dcitr00g0535011	6	IPR002015;IPR016024;IPR040623;IPR011989;IPR035266;IPR016642	"REPEAT:Proteasome/cyclosome_rpt";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"DOMAIN:RPN2_C";"HOMOLOGOUS_SUPERFAMILY:ARM-like";"FAMILY:PSMD1";"FAMILY:26S_Psome_Rpn2"
Dcitr05g0236011	1	IPR007062	"FAMILY:PPI-2"
Dcitr03g1972011	5	IPR003593;IPR003959;IPR008921;IPR013748;IPR027417	"DOMAIN:AAA+_ATPase";"DOMAIN:ATPase_AAA_core";"HOMOLOGOUS_SUPERFAMILY:DNA_pol3_clamp-load_cplx_C";"DOMAIN:Rep_factorC_C";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr05g0157011	4	IPR025661;IPR000668;IPR038765;IPR039417	"ACTIVE_SITE:Pept_asp_AS";"DOMAIN:Peptidase_C1A_C";"HOMOLOGOUS_SUPERFAMILY:Papain-like_cys_pep_sf";"DOMAIN:Peptidase_C1A_papain-like"
Dcitr01g1857011	2	IPR006578;IPR039353	"DOMAIN:MADF-dom";"FAMILY:TF_Adf1"
Dcitr01g1023011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr02g1175011	2	IPR036034;IPR001478	"HOMOLOGOUS_SUPERFAMILY:PDZ_sf";"DOMAIN:PDZ"
Dcitr07g0637011	1	IPR009318	"FAMILY:Gustatory_rcpt"
Dcitr09g0395011	3	IPR001356;IPR017970;IPR009057	"DOMAIN:Homeobox_dom";"CONSERVED_SITE:Homeobox_CS";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf"
Dcitr05g1059011	2	IPR006721;IPR036742	"FAMILY:ATP_synth_F1_esu_mt";"HOMOLOGOUS_SUPERFAMILY:ATP_synth_F1_esu_sf_mt"
Dcitr10g0897011	4	IPR013809;IPR008942;IPR011417;IPR014712	"DOMAIN:ENTH";"HOMOLOGOUS_SUPERFAMILY:ENTH_VHS";"DOMAIN:ANTH_dom";"HOMOLOGOUS_SUPERFAMILY:Clathrin_AP_dom2"
Dcitr13g0160012	4	IPR039261;IPR000778;IPR029648;IPR013121	"HOMOLOGOUS_SUPERFAMILY:FNR_nucleotide-bd";"FAMILY:Cyt_b245_heavy_chain";"FAMILY:NOX5";"DOMAIN:Fe_red_NAD-bd_6"
Dcitr03g1295011	2	IPR036259;IPR024989	"HOMOLOGOUS_SUPERFAMILY:MFS_trans_sf";"DOMAIN:MFS_assoc_dom"
Dcitr00g1098011	5	IPR039752;IPR001810;IPR007397;IPR008979;IPR036047	"FAMILY:F-box_only";"DOMAIN:F-box_dom";"DOMAIN:F-box-assoc_dom";"HOMOLOGOUS_SUPERFAMILY:Galactose-bd-like_sf";"HOMOLOGOUS_SUPERFAMILY:F-box-like_dom_sf"
Dcitr10g0638011	3	IPR000626;IPR029071;IPR039120	"DOMAIN:Ubiquitin-like_dom";"HOMOLOGOUS_SUPERFAMILY:Ubiquitin-like_domsf";"FAMILY:UBFD1"
Dcitr07g0501011	4	IPR020479;IPR001356;IPR009057;IPR017970	"DOMAIN:Homeobox_metazoa";"DOMAIN:Homeobox_dom";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf";"CONSERVED_SITE:Homeobox_CS"
Dcitr07g0334011	2	IPR013087;IPR036236	"DOMAIN:Znf_C2H2_type";"HOMOLOGOUS_SUPERFAMILY:Znf_C2H2_sf"
Dcitr07g1136011	4	IPR035979;IPR000504;IPR034893;IPR012677	"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom";"FAMILY:SRSF2-like";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf"
Dcitr01g0225011	1	IPR026319	"FAMILY:ZC2HC1"
Dcitr13g0681011	3	IPR035979;IPR000504;IPR012677	"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf"
Dcitr08g0787011	4	IPR003591;IPR032675;IPR001611;IPR000483	"REPEAT:Leu-rich_rpt_typical-subtyp";"HOMOLOGOUS_SUPERFAMILY:LRR_dom_sf";"REPEAT:Leu-rich_rpt";"DOMAIN:Cys-rich_flank_reg_C"
Dcitr02g0790011	1	IPR012173	"FAMILY:Mpp10"
Dcitr04g0271011	1	IPR019306	"FAMILY:TMEM231"
Dcitr00g1190013	3	IPR008271;IPR000719;IPR011009	"ACTIVE_SITE:Ser/Thr_kinase_AS";"DOMAIN:Prot_kinase_dom";"HOMOLOGOUS_SUPERFAMILY:Kinase-like_dom_sf"
Dcitr04g0987011	3	IPR013929;IPR013930;IPR039913	"DOMAIN:RNA_pol_II_AP1_C";"DOMAIN:RNA_pol_II_AP1_N";"FAMILY:RPAP1/Rba50"
Dcitr11g0898011	5	IPR035979;IPR001810;IPR000504;IPR036047;IPR012677	"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:F-box_dom";"DOMAIN:RRM_dom";"HOMOLOGOUS_SUPERFAMILY:F-box-like_dom_sf";"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf"
Dcitr00g0690011	3	IPR013783;IPR036116;IPR003961	"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold";"HOMOLOGOUS_SUPERFAMILY:FN3_sf";"DOMAIN:FN3_dom"
Dcitr07g1306011	3	IPR002645;IPR036513;IPR001902	"DOMAIN:STAS_dom";"HOMOLOGOUS_SUPERFAMILY:STAS_dom_sf";"FAMILY:SLC26A/SulP_fam"
Dcitr05g0504011	6	IPR010987;IPR036282;IPR036249;IPR004045;IPR005442;IPR040079	"DOMAIN:Glutathione-S-Trfase_C-like";"HOMOLOGOUS_SUPERFAMILY:Glutathione-S-Trfase_C_sf";"HOMOLOGOUS_SUPERFAMILY:Thioredoxin-like_sf";"DOMAIN:Glutathione_S-Trfase_N";"FAMILY:GST_omega";"FAMILY:Glutathione_S-Trfase"
Dcitr07g0336011	2	IPR023102;IPR029058	"HOMOLOGOUS_SUPERFAMILY:Fatty_acid_synthase_dom_2";"HOMOLOGOUS_SUPERFAMILY:AB_hydrolase"
Dcitr09g0118011	2	IPR029016;IPR003018	"HOMOLOGOUS_SUPERFAMILY:GAF-like_dom_sf";"DOMAIN:GAF"
Dcitr12g0399011	7	IPR036034;IPR031072;IPR041428;IPR011993;IPR001478;IPR001849;IPR015482	"HOMOLOGOUS_SUPERFAMILY:PDZ_sf";"FAMILY:Syntrophin-1";"DOMAIN:PHsplit_syntrophin";"HOMOLOGOUS_SUPERFAMILY:PH-like_dom_sf";"DOMAIN:PDZ";"DOMAIN:PH_domain";"FAMILY:Syntrophin"
Dcitr13g0238011	2	IPR002937;IPR036188	"DOMAIN:Amino_oxidase";"HOMOLOGOUS_SUPERFAMILY:FAD/NAD-bd_sf"
Dcitr05g0569011	5	IPR042264;IPR010014;IPR042263;IPR016435;IPR042265	"HOMOLOGOUS_SUPERFAMILY:DPH1/DPH2_2";"FAMILY:DHP2";"HOMOLOGOUS_SUPERFAMILY:DPH1/DPH2_1";"FAMILY:DPH1/DPH2";"HOMOLOGOUS_SUPERFAMILY:DPH1/DPH2_3"
Dcitr00g1078011	1	IPR013568	"DOMAIN:SEFIR_dom"
Dcitr00g1005011	2	IPR001148;IPR036398	"DOMAIN:CA_dom";"HOMOLOGOUS_SUPERFAMILY:CA_dom_sf"
Dcitr08g0691013	4	IPR005399;IPR005983;IPR023210;IPR036812	"FAMILY:K_chnl_volt-dep_bsu_KCNAB-rel";"FAMILY:K_chnl_volt-dep_bsu_KCNAB";"DOMAIN:NADP_OxRdtase_dom";"HOMOLOGOUS_SUPERFAMILY:NADP_OxRdtase_dom_sf"
Dcitr02g0211011	6	IPR003812;IPR040198;IPR013026;IPR003107;IPR011990;IPR036597	"DOMAIN:Fido";"FAMILY:Fido_containing";"DOMAIN:TPR-contain_dom";"REPEAT:HAT";"HOMOLOGOUS_SUPERFAMILY:TPR-like_helical_dom_sf";"HOMOLOGOUS_SUPERFAMILY:Fido-like_dom_sf"
Dcitr10g0356011	3	IPR010920;IPR001163;IPR027078	"HOMOLOGOUS_SUPERFAMILY:LSM_dom_sf";"DOMAIN:LSM_dom_euk/arc";"FAMILY:snRNP-E"
Dcitr01g2060011	2	IPR003959;IPR027417	"DOMAIN:ATPase_AAA_core";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr02g0302011	3	IPR003961;IPR036116;IPR013783	"DOMAIN:FN3_dom";"HOMOLOGOUS_SUPERFAMILY:FN3_sf";"HOMOLOGOUS_SUPERFAMILY:Ig-like_fold"
Dcitr01g1209012	7	IPR024324;IPR032682;IPR000626;IPR011989;IPR016024;IPR007673;IPR026971	"DOMAIN:Condensin_cplx_su1_N";"DOMAIN:Cnd1_C";"DOMAIN:Ubiquitin-like_dom";"HOMOLOGOUS_SUPERFAMILY:ARM-like";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"FAMILY:Condensin_cplx_su1";"FAMILY:CND1/NCAPD3"
Dcitr01g1793011	6	IPR029452;IPR028267;IPR016024;IPR029453;IPR028268;IPR029451	"DOMAIN:RICTOR_V";"DOMAIN:Pianissimo_N";"HOMOLOGOUS_SUPERFAMILY:ARM-type_fold";"DOMAIN:Rictor_IV";"FAMILY:Pianissimo_fam";"DOMAIN:RICTOR_M"
Dcitr07g0203011	2	IPR008160;IPR013320	"REPEAT:Collagen";"HOMOLOGOUS_SUPERFAMILY:ConA-like_dom_sf"
Dcitr02g1739011	5	IPR014430;IPR001199;IPR036400;IPR006694;IPR018506	"FAMILY:Scs7";"DOMAIN:Cyt_B5-like_heme/steroid-bd";"HOMOLOGOUS_SUPERFAMILY:Cyt_B5-like_heme/steroid_sf";"DOMAIN:Fatty_acid_hydroxylase";"BINDING_SITE:Cyt_B5_heme-BS"
Dcitr06g1084011	5	IPR017853;IPR013780;IPR002241;IPR013785;IPR035373	"HOMOLOGOUS_SUPERFAMILY:Glycoside_hydrolase_SF";"HOMOLOGOUS_SUPERFAMILY:Glyco_hydro_b";"FAMILY:Glyco_hydro_27";"HOMOLOGOUS_SUPERFAMILY:Aldolase_TIM";"DOMAIN:Melibiase/NAGA_C"
Dcitr09g0693011	1	IPR016181	"HOMOLOGOUS_SUPERFAMILY:Acyl_CoA_acyltransferase"
Dcitr10g0318011	1	IPR013604	"FAMILY:7TM_chemorcpt"
Dcitr08g1171012	5	IPR010122;IPR013528;IPR016039;IPR000590;IPR013746	"FAMILY:HMG_CoA_synthase_euk";"DOMAIN:HMG_CoA_synth_N";"HOMOLOGOUS_SUPERFAMILY:Thiolase-like";"ACTIVE_SITE:HMG_CoA_synt_AS";"DOMAIN:HMG_CoA_synt_C_dom"
Dcitr06g0372011	4	IPR040750;IPR036390;IPR000717;IPR027528	"DOMAIN:eIF3m_C_helix";"HOMOLOGOUS_SUPERFAMILY:WH_DNA-bd_sf";"DOMAIN:PCI_dom";"FAMILY:eIF3m"
Dcitr04g1017011	2	IPR038275;IPR005549	"HOMOLOGOUS_SUPERFAMILY:Nuf2_N_sf";"FAMILY:Kinetochore_Nuf2"
Dcitr04g0546011	5	IPR016021;IPR004087;IPR040160;IPR036612;IPR004088	"HOMOLOGOUS_SUPERFAMILY:MIF4-like_sf";"DOMAIN:KH_dom";"FAMILY:Mxt";"HOMOLOGOUS_SUPERFAMILY:KH_dom_type_1_sf";"DOMAIN:KH_dom_type_1"
Dcitr01g0339011	2	IPR038135;IPR013848	"HOMOLOGOUS_SUPERFAMILY:Methylthiotransferase_N_sf";"DOMAIN:Methylthiotransferase_N"
Dcitr02g0974013	3	IPR012677;IPR035979;IPR000504	"HOMOLOGOUS_SUPERFAMILY:Nucleotide-bd_a/b_plait_sf";"HOMOLOGOUS_SUPERFAMILY:RBD_domain_sf";"DOMAIN:RRM_dom"
Dcitr12g0594011	3	IPR020588;IPR013632;IPR027417	"DOMAIN:RecA_ATP-bd";"DOMAIN:DNA_recomb/repair_Rad51_C";"HOMOLOGOUS_SUPERFAMILY:P-loop_NTPase"
Dcitr00g0328012	1	IPR017956	"CONSERVED_SITE:AT_hook_DNA-bd_motif"
Dcitr07g0366011	3	IPR001356;IPR017970;IPR009057	"DOMAIN:Homeobox_dom";"CONSERVED_SITE:Homeobox_CS";"HOMOLOGOUS_SUPERFAMILY:Homeobox-like_sf"
