Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr03g1252011	6	GO:0006744;GO:0055114	"ubiquinone biosynthetic process";"oxidation-reduction process"	GO:0050660;GO:0004497;GO:0071949;GO:0016709	"flavin adenine dinucleotide binding";"monooxygenase activity";"FAD binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"		
Dcitr04g1000011	2	GO:0006508	"proteolysis"	GO:0008236	"serine-type peptidase activity"		
Dcitr06g1077011	2	GO:0030150	"protein import into mitochondrial matrix"	GO:0051087	"chaperone binding"		
Dcitr13g0595011	3	GO:0006508	"proteolysis"	GO:0008237;GO:0004222	"metallopeptidase activity";"metalloendopeptidase activity"		
Dcitr11g0533011	1			GO:0008017	"microtubule binding"		
Dcitr02g1083011	5	GO:0055114	"oxidation-reduction process"	GO:0004497;GO:0020037;GO:0005506;GO:0016705	"monooxygenase activity";"heme binding";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr01g1516011	7	GO:0006813;GO:0006811;GO:0055085	"potassium ion transport";"ion transport";"transmembrane transport"	GO:0005216;GO:0005249	"ion channel activity";"voltage-gated potassium channel activity"	GO:0016020;GO:0008076	"membrane";"voltage-gated potassium channel complex"
Dcitr09g0266011	1					GO:0005854	"nascent polypeptide-associated complex"
Dcitr08g0795011	1			GO:0035091	"phosphatidylinositol binding"		
Dcitr07g1295011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565	"DNA-binding transcription factor activity";"sequence-specific DNA binding"		
Dcitr00g1340011	4	GO:0006812;GO:0055085	"cation transport";"transmembrane transport"	GO:0015299	"solute:proton antiporter activity"	GO:0016021	"integral component of membrane"
Dcitr05g1269011	5	GO:0006820	"anion transport"	GO:0005452;GO:0008509	"inorganic anion exchanger activity";"anion transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
